municipality2011,id,lng,lat,name,province
ec104,264,26.40888872,-33.23775067,Makana,EC
ec105,265,26.7489313,-33.52106606,Ndlambe,EC
ec106,266,25.50313875,-33.51254942,Sundays River Valley,EC
ec107,267,23.78778039,-33.2799138,Baviaans,EC
ec108,268,24.79596645,-33.90702314,Kouga,EC
ec109,269,24.04594553,-33.86317913,Kou-Kamma,EC
ec121,270,28.57307388,-32.12525284,Mbhashe,EC
ec122,271,28.16836739,-32.34656433,Mnquma,EC
ec123,272,28.01668304,-32.66347444,Great Kei,EC
ec124,273,27.35929785,-32.49270561,Amahlathi,EC
ec126,274,27.1984634,-33.19205497,Ngqushwa,EC
ec127,276,26.78082125,-32.77454942,Nkonkobe,EC
ec128,277,26.26701116,-32.57206055,Nxuba,EC
ec131,278,25.32782382,-31.86102311,Inxuba Yethemba,EC
ec132,279,26.11541028,-31.85394403,Tsolwana,EC
ec133,280,26.4708171,-31.50024415,Inkwanca,EC
ec134,281,26.94141049,-32.09244723,Lukanji,EC
ec135,282,27.63836683,-31.94016853,Intsika Yethu,EC
ec136,283,27.19352037,-31.59473121,Emalahleni,EC
ec137,284,28.09590564,-31.68330417,Engcobo,EC
ec138,285,27.7746456,-31.45077781,Sakhisizwe,EC
ec141,286,28.33219488,-30.92599705,Elundini,EC
ec142,287,27.55774684,-30.86115782,Senqu,EC
nma,299,25.48777027,-33.79540799,Nelson Mandela Bay,EC
nc061,363,17.05965012,-28.76555726,Richtersveld,NC
nc062,364,17.914304,-29.46054201,Nama Khoi,NC
nc064,365,18.12669592,-30.37685587,Kamiesberg,NC
nc065,366,19.91459406,-31.03267114,Hantam,NC
nc066,367,21.02637215,-31.65386169,Karoo Hoogland,NC
nc067,368,19.29981497,-29.5668175,Khâi-Ma,NC
nc071,369,23.14065842,-31.37301235,Ubuntu,NC
nc072,370,25.05118206,-30.8425174,Umsobomvu,NC
nc073,371,23.86457708,-30.68114613,Emthanjeni,NC
nc074,372,22.13680442,-30.5429069,Kareeberg,NC
nc075,373,24.44419793,-30.25968652,Renosterberg,NC
nc076,374,23.76374096,-29.70513796,Thembelihle,NC
nc077,375,22.55049221,-29.62906048,Siyathemba,NC
nc078,376,23.37308324,-28.980698,Siyancuma,NC
nc081,377,20.36969845,-26.4703807,Mier,NC
nc082,378,20.41446398,-28.97408441,Kai !Garib,NC
nc083,379,21.30784981,-27.70255967,//Khara Hais,NC
nc084,380,21.60479956,-29.23308691,!Kheis,NC
nc085,381,22.55264056,-28.04214917,Tsantsabane,NC
nc091,383,24.51847686,-28.73982769,Sol Plaatjie,NC
nc092,384,24.19618879,-28.19302066,Dikgatlong,NC
nc093,385,24.78717452,-28.17199155,Magareng,NC
nc086,382,23.63251614,-28.21827539,Kgatelopele,NC
nc094,386,24.8097206,-27.80457975,Phokwane,NC
nc451,360,22.9316233,-26.83969242,Joe Morolong,NC
nc453,362,23.00579762,-27.6293578,Gamagara,NC
nc452,361,23.56642281,-27.62261763,Ga-Segonyana,NC
fs161,460,25.01177035,-29.36177755,Letsemeng,FS
fs162,461,25.64355274,-29.9789931,Kopanong,FS
fs163,462,26.71020344,-30.20914707,Mohokare,FS
fs164,463,26.80018828,-29.6860528,Naledi,FS
fs181,464,26.60661171,-28.62678389,Masilonyana,FS
fs182,465,25.35932862,-28.47177539,Tokologo,FS
fs183,466,25.92983494,-28.05751032,Tswelopele,FS
fs184,467,26.89327065,-28.00157384,Matjhabeng,FS
fs185,468,26.44861779,-27.61879551,Nala,FS
fs191,469,27.57067021,-28.58134704,Setsoto,FS
fs192,470,28.29442262,-28.35928185,Dihlabeng,FS
fs193,471,28.24615779,-27.85349557,Nketoana,FS
fs194,472,29.021578,-28.33756619,Maluti a Phofung,FS
fs195,473,29.23124471,-27.68066296,Phumelela,FS
fs196,474,27.21299721,-29.14106818,Mantsopa,FS
fs201,475,27.19227628,-27.49315989,Moqhaka,FS
fs203,477,27.73459511,-27.29642172,Ngwathe,FS
fs204,478,28.04140437,-26.93106298,Metsimaholo,FS
fs205,479,28.6052657,-27.27154155,Mafube,FS
man,499,26.3405894,-29.1505554,Mangaung,FS
eth,599,30.84853735,-29.81259445,eThekwini,KZN
kzn211,560,30.57445471,-30.20195252,Vulamehlo,KZN
kzn212,561,30.66693139,-30.352023,Umdoni,KZN
kzn213,503,30.336733,-30.4875512,Umzumbe,KZN
kzn214,504,29.87854515,-30.63976018,UMuziwabantu,KZN
kzn215,505,30.15235227,-30.75747884,Ezingoleni,KZN
kzn225,566,30.32330667,-29.65191954,The Msunduzi,KZN
kzn216,506,30.32868242,-30.80140656,Hibiscus Coast,KZN
kzn221,562,30.57359752,-29.38680924,uMshwathi,KZN
kzn222,563,30.09050758,-29.43606242,uMngeni,KZN
kzn223,564,30.02536898,-29.18414578,Mpofana,KZN
kzn224,565,29.70279413,-29.54264789,Impendle,KZN
kzn226,567,30.55836154,-29.85722818,Mkhambathini,KZN
kzn227,568,30.28901149,-29.89191085,Richmond,KZN
kzn232,514,29.76329752,-28.41321398,Emnambithi/Ladysmith,KZN
kzn233,569,30.13611888,-28.5487781,Indaka,KZN
kzn234,570,29.97443164,-28.89806458,Umtshezi,KZN
kzn235,571,29.3082706,-28.75455872,Okhahlamba,KZN
kzn236,573,29.60615717,-29.10613109,Imbabazane,KZN
kzn241,574,30.29466084,-28.16688995,Endumeni,KZN
kzn242,575,30.74445491,-28.30302563,Nqutu,KZN
kzn244,576,30.46223505,-28.61131246,Msinga,KZN
kzn245,577,30.68136575,-29.0352623,Umvoti,KZN
kzn252,524,29.88242165,-27.73304673,Newcastle,KZN
kzn253,525,30.32366539,-27.62077023,Emadlangeni,KZN
kzn254,526,30.00923154,-28.00703166,Dannhauser,KZN
kzn261,578,30.8111037,-27.46599381,eDumbe,KZN
kzn262,579,31.56894631,-27.48734979,UPhongolo,KZN
kzn263,529,31.04358759,-27.83526017,Abaqulusi,KZN
kzn265,580,31.74591536,-27.91700204,Nongoma,KZN
kzn266,581,31.30810166,-28.2413385,Ulundi,KZN
kzn271,582,32.56276532,-27.19160642,Umhlabuyalingana,KZN
kzn272,583,32.14434525,-27.3651274,Jozini,KZN
kzn273,584,32.44999655,-27.85835096,The Big 5 False Bay,KZN
kzn274,585,31.94576786,-28.17559477,Hlabisa,KZN
kzn275,586,32.29091625,-28.28363309,Mtubatuba,KZN
kzn281,587,32.09674369,-28.55147639,Mfolozi,KZN
kzn282,538,31.9340241,-28.78286249,uMhlathuze,KZN
kzn283,588,31.71221171,-28.56977331,Ntambanana,KZN
kzn284,589,31.44392046,-28.90856411,uMlalazi,KZN
kzn285,590,31.3835593,-28.59620087,Mthonjaneni,KZN
kzn286,542,30.98783241,-28.65929066,Nkandla,KZN
kzn291,591,31.46158451,-29.12314784,Mandeni,KZN
kzn292,592,31.24594663,-29.35820269,KwaDukuza,KZN
kzn293,593,30.95737431,-29.43453313,Ndwedwe,KZN
kzn294,546,31.05754574,-29.11620559,Maphumulo,KZN
kzn431,594,29.83803359,-29.88960604,Ingwe,KZN
kzn432,595,29.40428507,-29.76780891,Kwa Sani,KZN
kzn433,596,29.3372552,-30.30179158,Greater Kokstad,KZN
kzn434,597,30.16258717,-30.190423,Ubuhlebezwe,KZN
kzn435,598,29.73520311,-30.2917811,Umzimkhulu,KZN
nw371,660,28.05793054,-25.17051768,Moretele,NW
nw372,661,27.7407832,-25.43395448,Madibeng,NW
nw401,675,26.89823678,-26.31564362,Ventersdorp,NW
nw373,662,27.32959183,-25.66182908,Rustenburg,NW
nw375,664,26.86400872,-25.13478258,Moses Kotane,NW
nw381,665,25.0638903,-26.08516285,Ratlou,NW
nw382,666,25.65585483,-26.61519782,Tswaing,NW
nw383,667,25.67305448,-25.8854701,Mafikeng,NW
nw384,668,26.24458172,-26.10620501,Ditsobotla,NW
nw385,669,26.11905352,-25.21056066,Ramotshere Moiloa,NW
nw374,663,26.86236519,-25.7250126,Kgetlengrivier,NW
nw392,670,24.78298119,-26.86657904,Naledi,NW
nw393,671,25.28271102,-27.21074616,Mamusa,NW
nw394,672,24.44553036,-27.50337396,Greater Taung,NW
nw396,673,25.33011733,-27.6251294,Lekwa-Teemane,NW
nw397,674,23.76802979,-26.12084637,Kagisano/Molopo,NW
nw402,676,27.14875338,-26.73747644,Tlokwe City Council,NW
nw403,677,26.48348046,-26.80268258,City of Matlosana,NW
nw404,678,26.04756634,-27.2322734,Maquassi Hills,NW
eku,797,28.31246992,-26.18962765,Ekurhuleni,GT
gt421,760,27.77778076,-26.63009525,Emfuleni,GT
gt422,761,28.12439645,-26.62589266,Midvaal,GT
gt423,762,28.49414939,-26.46930592,Lesedi,GT
gt481,763,27.67613538,-25.98751884,Mogale City,GT
gt482,764,27.59102291,-26.19079492,Randfontein,GT
gt483,765,27.65382757,-26.40296919,Westonaria,GT
gt484,766,27.39200345,-26.4149427,Merafong City,GT
jhb,798,27.95665091,-26.1849358,City of Johannesburg,GT
tsh,799,28.43583304,-25.66357863,City of Tshwane,GT
mp301,860,30.48807431,-26.05725549,Albert Luthuli,MP
mp302,861,30.12143329,-26.4668145,Msukaligwa,MP
mp303,862,30.69615973,-26.9896561,Mkhondo,MP
mp304,863,29.94726852,-27.12602844,Pixley Ka Seme,MP
mp305,864,29.34394879,-26.8822686,Lekwa,MP
mp306,865,28.63773848,-26.7838001,Dipaleseng,MP
mp307,866,29.1877412,-26.46607698,Govan Mbeki,MP
mp311,867,28.75748497,-26.14580718,Victor Khanye,MP
mp312,868,29.16509078,-26.01347605,Emalahleni,MP
mp313,869,29.55928171,-25.83685306,Steve Tshwete,MP
mp314,870,30.11681947,-25.60022814,Emakhazeni,MP
mp315,871,28.96144902,-25.46977709,Thembisile,MP
mp321,873,30.56653245,-25.06520911,Thaba Chweu,MP
mp322,874,31.13407403,-25.32688267,Mbombela,MP
mp316,872,28.79451884,-25.10159115,Dr JS Moroka,MP
mp323,875,31.00125578,-25.75200886,Umjindi,MP
mp324,876,31.73157988,-25.50312209,Nkomazi,MP
mp325,877,31.52501991,-24.55363436,Bushbuckridge,MP
lim352,970,29.07553782,-23.66094585,Aganang,LIM
lim367,982,28.69001624,-23.84908442,Mogalakwena,LIM
lim471,983,29.33083586,-24.90073396,Ephraim Mogale,LIM
lim362,978,27.79476043,-23.67570522,Lephalale,LIM
lim472,984,29.55798093,-25.19972252,Elias Motsoaledi,LIM
lim473,985,29.76863145,-24.72479072,Makhuduthamaga,LIM
lim474,986,29.87800044,-24.40403694,Fetakgomo,LIM
lim475,987,30.29610893,-24.65310572,Greater Tubatse,LIM
lim331,960,30.89475517,-23.36121182,Greater Giyani,LIM
lim333,962,30.29179754,-23.86523385,Greater Tzaneen,LIM
lim334,963,31.1956533,-23.77434004,Ba-Phalaborwa,LIM
lim335,964,30.80954262,-24.31930412,Maruleng,LIM
lim341,967,29.7292298,-22.43082964,Musina,LIM
lim342,965,30.82217311,-22.55752153,Mutale,LIM
lim343,966,30.93005443,-22.92839228,Thulamela,LIM
lim344,968,29.79515546,-23.01804806,Makhado,LIM
lim332,961,30.27795986,-23.50798993,Greater Letaba,LIM
lim351,969,28.74072226,-22.94926039,Blouberg,LIM
lim353,973,29.56072094,-23.49797593,Molemole,LIM
lim354,974,29.48757805,-23.94769161,Polokwane,LIM
lim355,976,29.7234751,-24.26789214,Lepele-Nkumpi,LIM
lim361,977,27.18794312,-24.54556661,Thabazimbi,LIM
lim364,979,28.85413651,-24.54969605,Mookgopong,LIM
lim365,980,28.18343617,-24.44646391,Modimolle,LIM
lim366,981,28.27701963,-24.95225296,Bela-Bela,LIM
