municipality2011,year,population
kzn265,2001,198443.3417
kzn266,2001,188585.1261
kzn294,2001,120642.5434
kzn291,2001,127326.7691
kzn292,2001,167804.9215
kzn293,2001,144614.5993
eth,2001,3090122.245
lim331,2001,240728.5811
lim332,2001,218873.4238
lim333,2001,375585.6393
lim334,2001,131536.1715
lim335,2001,94382.7286
lim342,2001,82892.69187
lim343,2001,581486.5548
lim341,2001,39309.52464
lim344,2001,494263.5157
lim351,2001,171721.4471
lim352,2001,146871.8974
lim353,2001,109441.0381
lim354,2001,508276.5703
lim355,2001,227969.6379
lim361,2001,65533.36105
lim362,2001,85272.46909
lim364,2001,34540.82874
lim365,2001,69027.28428
lim366,2001,52124.24099
lim367,2001,298439.4285
lim471,2001,121326.6163
lim472,2001,221647.026
lim473,2001,262005.4104
lim474,2001,92598.03897
lim475,2001,269607.598
mp301,2001,187750.6694
mp302,2001,124812.3867
mp303,2001,143077.2052
mp304,2001,80736.73229
mp305,2001,103265.1664
mp306,2001,38618.01655
mp307,2001,221747.2056
mp311,2001,56334.72244
mp312,2001,276412.6881
mp313,2001,142771.9469
mp314,2001,43006.65401
mp315,2001,256582.9916
mp316,2001,243313.2737
mp321,2001,81680.74507
mp322,2001,476903.4598
mp323,2001,53744.05298
mp324,2001,334668.4919
mp325,2001,500127.7783
nw371,2001,181033.111
nw372,2001,347577.9584
nw373,2001,387096.4983
nw374,2001,36477.40364
nw375,2001,237174.8208
nw381,2001,106164.8598
nw382,2001,114154.9626
nw383,2001,259478.2103
nw384,2001,147599.2344
nw385,2001,137442.7741
nw392,2001,56262.86053
nw393,2001,48365.74349
nw394,2001,182163.7388
nw396,2001,42967.25491
nw397,2001,100468.5869
nw401,2001,43078.20604
nw402,2001,128352.5294
nw403,2001,359202.1204
nw404,2001,69036.87853
nc061,2001,10124.54172
nc062,2001,44899.78958
nc064,2001,10753.6274
nc065,2001,20350.91199
nc066,2001,10512.2955
nc067,2001,11469.34415
nc071,2001,16375.25502
nc072,2001,23641.32326
nc073,2001,35785.26913
nc074,2001,9487.541161
nc075,2001,9069.538021
nc076,2001,14467.33684
nc077,2001,18445.40852
nc078,2001,39275.1005
nc081,2001,7207.348724
nc082,2001,58670.89919
nc083,2001,77918.66475
nc084,2001,16538.4871
nc085,2001,27082.26693
nc086,2001,14742.61777
nc091,2001,202245.54
nc092,2001,38262.19839
nc093,2001,21733.48993
nc094,2001,61321.40905
nc451,2001,97945.44134
nc452,2001,70391.73518
nc453,2001,23201.55679
wc011,2001,54198.82744
wc012,2001,39559.47965
wc013,2001,46538.31077
wc014,2001,70260.77632
wc015,2001,72115.04248
wc022,2001,89086.67411
wc023,2001,194417.3798
wc024,2001,118708.9086
wc025,2001,146386.5829
wc026,2001,81684.41257
wc034,2001,28284.7079
wc031,2001,93276.20166
wc032,2001,55012.34918
wc033,2001,27155.2913
wc041,2001,23971.27848
wc042,2001,44114.13787
wc043,2001,71493.71846
wc044,2001,149435.7964
wc045,2001,84691.87637
wc047,2001,29182.37211
wc048,2001,52035.28559
wc051,2001,6680.309999
wc052,2001,10511.99053
wc053,2001,43290.22912
cpt,2001,2892243.3
ec101,2011,50993.45802
ec102,2011,36001.7992
ec103,2011,10537.35582
ec104,2011,80389.62741
ec105,2011,61175.96832
ec106,2011,54503.88757
ec107,2011,17761.06724
ec108,2011,98557.83591
ec109,2011,40663.23047
ec121,2011,254908.7963
ec122,2011,252390.3678
ec123,2011,38990.5468
ec124,2011,122777.7696
ec126,2011,72189.97413
ec127,2011,127115.1605
ec128,2011,24264.0379
ec131,2011,65559.865
ec132,2011,33280.67544
ec133,2011,21970.79147
ec134,2011,190722.8962
ec135,2011,145372.0415
ec136,2011,119459.6089
ec137,2011,155513.0133
ec138,2011,63582.424
ec141,2011,138140.8152
ec142,2011,134150.4472
ec143,2011,43800.20624
ec144,2011,33676.55494
ec153,2011,278480.9906
ec154,2011,156136.215
ec155,2011,290389.847
ec156,2011,188225.792
ec157,2011,451710.4275
ec441,2011,203842.5539
ec442,2011,191620.42
ec443,2011,281905.0576
ec444,2011,123976.0478
buf,2011,755200.0495
nma,2011,1152115.43
fs161,2011,38628.3822
fs162,2011,49170.52223
fs163,2011,34145.78651
fs164,2011,24313.95629
fs181,2011,63334.19411
fs182,2011,28986.32065
fs183,2011,47625.08823
