geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr,lat,lng
cod,Congo, Dem. Rep.,country,afr,1800,5163819,485,42.1,422.65,-2.5,23.5
cog,Congo, Rep.,country,afr,1800,314465,575,51.1,408.51,-1,15.5
col,Colombia,country,ame,1800,1206000,963,58.9,417.44,4,-73.25
com,Comoros,country,afr,1800,56346,696,36.3,416.16,-12.23333,44.44553
cpv,Cape Verde,country,afr,1800,55716,529,50.5,394.71,16,-24
cri,Costa Rica,country,ame,1800,51987,775,50,441.12,10,-84
cub,Cuba,country,ame,1800,345043,864,36.5,414.89,22,-79.5
cyp,Cyprus,country,eur,1800,184392,853,29,339.12,35,33
cze,Czech Republic,country,eur,1800,5516349,1915,34.9,379.99,49.75,15
deu,Germany,country,eur,1800,22886919,1639,53,340.25,51.5,10.5
dji,Djibouti,country,afr,1800,22848,752,41.5,445.15,11.58901,43.14503
dnk,Denmark,country,eur,1800,1062514,2013,61,379.99,56,10
dom,Dominican Republic,country,ame,1800,89000,667,40.1,445.15,19,-70.66667
dza,Algeria,country,afr,1800,2503218,716,57.7,460.21,28,3
ecu,Ecuador,country,ame,1800,500000,529,38,405.96,-1.25,-78.25
egy,Egypt,country,afr,1800,4243515,791,57.7,404.69,27,30
eri,Eritrea,country,afr,1800,205010,532,45,441.12,15,39
esp,Spain,country,eur,1800,11549294,1518,38,450.6,40,-4
est,Estonia,country,eur,1800,334136,938,48.9,362.15,59,26
eth,Ethiopia,country,afr,1800,2948990,523,47.5,447.88,9,39.5
fin,Finland,country,eur,1800,977662,1244,50.6,420.04,64,26
fji,Fiji,country,asi,1800,130533,785,47.6,498.88,-18,178
fra,France,country,eur,1800,29355111,1803,59,412.34,46,2
gab,Gabon,country,afr,1800,158227,390,45.9,435.79,-1,11.75
gbr,United Kingdom,country,eur,1800,12327466,3431,59.3,329.04,54.75844,-2.69531
geo,Georgia,country,eur,1800,1072178,543,29.7,396.8,41.99998,43.4999
gha,Ghana,country,afr,1800,2016034,696,58.4,471.38,8.1,-1.2
gin,Guinea,country,afr,1800,983959,450,32.7,450.6,10.83333,-10.66667
gmb,Gambia,country,afr,1800,103274,813,45,460.21,13.5,-15.5
gnb,Guinea-Bissau,country,afr,1800,218167,777,49.8,417.44,12,-15
gnq,Equatorial Guinea,country,afr,1800,80377,356,45,446.51,1.7,10.5
grc,Greece,country,eur,1800,2151155,1371,49.9,360.97,39,22
gtm,Guatemala,country,ame,1800,458965,857,35.3,503.36,14.64072,-90.51327
guy,Guyana,country,ame,1800,166034,1214,38.2,429.16,5,-59
hnd,Honduras,country,ame,1800,126118,675,61.9,393.46,15,-86.5
hti,Haiti,country,ame,1800,723000,633,41.5,486.4,19,-72.41667
hun,Hungary,country,eur,1800,3499771,1249,47.4,368.01,47,20
idn,Indonesia,country,asi,1800,16108545,994,51.7,443.79,-5,120
ind,India,country,asi,1800,168574895,1052,32.8,509.39,22,79
irl,Ireland,country,eur,1800,4064749,1447,44.6,348.22,53,-8
irn,Iran,country,asi,1800,6269721,977,57.7,506.38,32,53
irq,Iraq,country,asi,1800,1076920,970,57.7,427.86,33,44
isr,Israel,country,asi,1800,209954,879,44.9,448,31.5,34.75
ita,Italy,country,eur,1800,18822234,2225,60.5,457.41,42.83333,12.83333
jam,Jamaica,country,ame,1800,401000,1170,39.1,389.77,18.16667,-77.25
jor,Jordan,country,asi,1800,217000,976,38.8,421.34,31,36
jpn,Japan,country,asi,1800,30294378,1050,53.2,363.32,35.68536,139.75309
kaz,Kazakhstan,country,asi,1800,2041282,1140,43.3,497.41,48,68
ken,Kenya,country,afr,1800,2574000,854,46.3,507.88,1,38
kgz,Kyrgyz Republic,country,asi,1800,530343,508,46,382.72,41.5,75
khm,Cambodia,country,asi,1800,2090000,903,38.5,379.99,13,105
kor,South Korea,country,asi,1800,9395000,576,32.1,503.36,36.5,127.75
kwt,Kuwait,country,asi,1800,81280,1097,45,500.35,29.36972,47.97833
lao,Lao,country,asi,1800,470000,864,38.4,418.74,18,105
lbn,Lebanon,country,asi,1800,332000,1081,57.7,447.88,33.83333,35.83333
lbr,Liberia,country,afr,1800,313543,797,38.2,429.16,6.5,-9.5
lby,Libya,country,afr,1800,531472,1050,45,404.69,28,17
lka,Sri Lanka,country,asi,1800,1213000,898,48,409.79,7.75,80.75
lso,Lesotho,country,afr,1800,276361,393,56,407.24,-29.5,28.25
ltu,Lithuania,country,eur,1800,778655,1270,48.9,458.81,55.41667,24
lux,Luxembourg,country,eur,1800,127030,1453,25.8,357.45,49.61167,6.13
lva,Latvia,country,eur,1800,590588,751,48.9,404.69,57,25
mar,Morocco,country,afr,1800,2503218,715,57.7,403.44,32,-6
mda,Moldova,country,eur,1800,712558,621,47.8,396.8,47.25,28.58333
mdg,Madagascar,country,afr,1800,1543133,573,41,437.13,-20,47
mex,Mexico,country,ame,1800,6181708,1379,40.1,487.15,19.42847,-99.12766
mkd,Macedonia, FYR,country,eur,1800,391865,690,32.5,396.8,41.66667,21.75
mli,Mali,country,afr,1800,1403398,603,47.2,494.48,18,-2
mmr,Myanmar,country,asi,1800,3506000,840,30.5,433.13,21,96
mne,Montenegro,country,eur,1800,126582,1057,30.1,375.2,42.75,19.25
mng,Mongolia,country,asi,1800,619000,592,33.2,420.04,46,105
moz,Mozambique,country,afr,1800,1982324,390,45.2,439.79,-18.25,35
mrt,Mauritania,country,afr,1800,382696,527,49.5,417.44,20.25,-10.5
mus,Mauritius,country,afr,1800,62865,940,37.9,427.86,-20.3,57.58333
mwi,Malawi,country,afr,1800,737000,350,45.7,439.79,-13.5,34
mys,Malaysia,country,asi,1800,287000,997,25.3,435.79,2.5,112.5
nam,Namibia,country,afr,1800,229000,540,52.6,412.34,-22,17
ner,Niger,country,afr,1800,1244861,446,43.3,433.13,18,9
nga,Nigeria,country,afr,1800,12100855,851,54.9,438.46,10,8
nic,Nicaragua,country,ame,1800,219387,973,56.7,509.39,13,-85
nld,Netherlands,country,eur,1800,2254522,4235,56.3,323.5,52.25,5.75
nor,Norway,country,eur,1800,868570,1278,43.7,335.73,62,10
npl,Nepal,country,asi,1800,3881000,654,41,407.24,28,84
nzl,New Zealand,country,asi,1800,100000,658,38.2,390.99,-42,174
omn,Oman,country,asi,1800,318000,915,45,413.61,21,57
pak,Pakistan,country,asi,1800,13123633,1021,28.7,501.85,30,70
pan,Panama,country,ame,1800,78842,847,58.9,405.96,8.9936,-79.51973
per,Peru,country,ame,1800,1314151,1204,57.4,371.61,-10,-75.25
phl,Philippines,country,asi,1800,1894389,962,32.5,431.79,13,122
png,Papua New Guinea,country,asi,1800,754894,546,25.8,423.95,-6,147
pol,Poland,country,eur,1800,9508747,1213,34.5,369.21,52,20
prk,North Korea,country,asi,1800,4345000,579,45,500.35,40,127
prt,Portugal,country,eur,1800,3033454,1685,55.1,372.81,39.6945,-8.13057
pry,Paraguay,country,ame,1800,143000,835,56,374,-23.33333,-58
pse,West Bank and Gaza,country,asi,1800,165944,1220,34,435.2,31.5,34.46667
qat,Qatar,country,asi,1800,14092,1097,45,433.13,25.27932,51.52245
rou,Romania,country,eur,1800,5464085,815,47.8,371.61,46,25
rus,Russia,country,eur,1800,31088398,1430,57.9,418.74,60,100
rwa,Rwanda,country,afr,1800,928368,431,59,420.04,-2,30
sau,Saudi Arabia,country,asi,1800,2091000,846,45,416.16,25,45
sdn,Sudan,country,afr,1800,3994154,518,33.8,425.25,16,30
sds,South Sudan,country,afr,1800,1027378,507,33.78,490.08,7.5,30
sen,Senegal,country,afr,1800,1009886,497,45.9,512.4,14.5,-14.25
sgp,Singapore,country,asi,1800,30000,1021,41,456.05,1.28967,103.85007
slb,Solomon Islands,country,asi,1800,56998,363,45,504.87,-8,159
sle,Sierra Leone,country,afr,1800,794264,734,60.1,513.91,8.5,-11.5
slv,El Salvador,country,ame,1800,248000,974,53,461.6,13.83333,-88.91667
som,Somalia,country,afr,1800,991488,694,50.9,451.96,6,48
srb,Serbia,country,eur,1800,2147197,1358,32.5,374,44.81892,20.45998
sur,Suriname,country,ame,1800,80721,1636,32.2,405.96,4,-56
svk,Slovak Republic,country,eur,1800,2140651,1427,34.9,363.32,48.66667,19.5
svn,Slovenia,country,eur,1800,469664,1409,27.7,360.97,46.08333,15
swe,Sweden,country,eur,1800,2354189,1414,67.5,381.11,62,15
swz,Swaziland,country,afr,1800,86000,490,60.7,413.61,-26.5,31.5
syr,Syria,country,asi,1800,1337000,1081,57.7,429.16,35,38
tcd,Chad,country,afr,1800,1432000,418,50.6,431.79,15,19
tgo,Togo,country,afr,1800,445985,682,37.8,426.55,8.66667,1.08333
tha,Thailand,country,asi,1800,4665000,931,47.4,438.46,15.5,101
tjk,Tajikistan,country,asi,1800,466629,556,47.4,381.44,39,71
tkm,Turkmenistan,country,asi,1800,367215,943,41.4,497.92,39.75,59.66667
tls,Timor-Leste,country,asi,1800,137262,521,30.4,445.44,-8.83333,125.75
tto,Trinidad and Tobago,country,ame,1800,60000,1230,44.9,405.96,11,-61
tun,Tunisia,country,afr,1800,862029,716,57.7,460.21,34,9
tur,Turkey,country,eur,1800,9773456,1221,57.7,379.99,39,35
tza,Tanzania,country,afr,1800,3019768,562,37.6,414.89,-6,35
uga,Uganda,country,afr,1800,2101397,464,41,510.9,1.25,32.5
ukr,Ukraine,country,eur,1800,11215490,763,45.6,360.97,49,32
ury,Uruguay,country,ame,1800,55000,1758,48.1,405.96,-33,-56
usa,United States,country,ame,1800,6801854,2128,66.6,462.89,39.76,-98.5
uzb,Uzbekistan,country,asi,1800,1919159,502,44.4,381.44,41.66667,63.83333
ven,Venezuela,country,ame,1800,718000,682,43.3,414.89,8,-66
vnm,Vietnam,country,asi,1800,6551000,861,40.4,417.44,16.16667,107.83333
yem,Yemen,country,asi,1800,2593000,877,57.7,540.44,15.5,47.5
zaf,South Africa,country,afr,1800,1440820,1480,35.9,398.45,-29,24
zmb,Zambia,country,afr,1800,747000,663,39.9,409.79,-14.33333,28.5
zwe,Zimbabwe,country,afr,1800,1085814,869,34.6,395.95,-19,29.75
afg,Afghanistan,country,asi,1801,3280000,603,30.5,468.58,33,66
ago,Angola,country,afr,1801,1567028,620,48.9,485.68,-12.5,18.5
alb,Albania,country,eur,1801,411734,667,41.2,375.2,41,20
are,United Arab Emirates,country,asi,1801,40153,1001,45,434.46,23.75,54.5
arg,Argentina,country,ame,1801,534000,1508,47.1,402.19,-34,-64
arm,Armenia,country,eur,1801,413326,514,29.1,370.71,40.25,45
aus,Australia,country,asi,1801,350143,816,41.3,390.99,-25,135
aut,Austria,country,eur,1801,3213566,1855,53.4,373.01,47.33333,13.33333
aze,Azerbaijan,country,eur,1801,879960,775,31.9,383.21,40.5,47.5
bdi,Burundi,country,afr,1801,899097,418,43.7,423.95,-3.5,30
bel,Belgium,country,eur,1801,3152306,2413,62.4,322.4,50.75,4.5
ben,Benin,country,afr,1801,636559,597,48,430.46,9.5,2.25
bfa,Burkina Faso,country,afr,1801,1665421,480,37.5,454.69,12.5,-1.66667
bgd,Bangladesh,country,asi,1801,19265271,876,41.8,507.88,24,90
bgr,Bulgaria,country,eur,1801,2001629,1089,47.8,370.41,42.66667,25.25
bhr,Bahrain,country,asi,1801,64474,1240,45,439.79,26.03333,50.55
bih,Bosnia and Herzegovina,country,eur,1801,851806,669,26.4,378.8,44.25,17.83333
blr,Belarus,country,eur,1801,2355081,608,57.9,365.67,53,28
bol,Bolivia,country,ame,1801,1100000,854,36.9,404.69,-17,-65
bra,Brazil,country,ame,1801,3678743,1109,40.1,417.44,-10,-55
btn,Bhutan,country,asi,1801,89989,629,46.8,462.97,27.5,90.5
bwa,Botswana,country,afr,1801,121000,397,35.6,397.2,-22,24
caf,Central African Republic,country,afr,1801,479444,424,45.2,443.79,7,21
can,Canada,country,ame,1801,653134,1322,45.1,333.47,60.10867,-113.64258
che,Switzerland,country,eur,1801,1833734,2701,41.7,344.77,47.00016,8.01427
chl,Chile,country,ame,1801,771447,1026,47.1,417.44,-33.45694,-70.64827
chn,China,country,asi,1801,324408862,985,44.2,417.44,35,105
civ,Cote d'Ivoire,country,afr,1801,1088530,816,38.1,427.86,8,-5.5
cmr,Cameroon,country,afr,1801,1860054,626,56.2,460.21,6,12.5
cod,Congo, Dem. Rep.,country,afr,1801,5163819,487,42.1,422.65,-2.5,23.5
cog,Congo, Rep.,country,afr,1801,314465,576,51.1,408.51,-1,15.5
col,Colombia,country,ame,1801,1206000,963,58.9,417.44,4,-73.25
com,Comoros,country,afr,1801,56346,697,36.3,416.16,-12.23333,44.44553
cpv,Cape Verde,country,afr,1801,55716,529,50.5,394.71,16,-24
cri,Costa Rica,country,ame,1801,53000,775,49.9,441.12,10,-84
cub,Cuba,country,ame,1801,355456,874,36.5,413.61,22,-79.5
cyp,Cyprus,country,eur,1801,184412,854,29.2,339.12,35,33
cze,Czech Republic,country,eur,1801,5516349,1916,34.9,379.99,49.75,15
deu,Germany,country,eur,1801,22983824,1651,53,340.25,51.5,10.5
dji,Djibouti,country,afr,1801,22848,754,41.5,445.15,11.58901,43.14503
dnk,Denmark,country,eur,1801,1066957,2017,61,378.8,56,10
dom,Dominican Republic,country,ame,1801,89000,667,40.2,445.15,19,-70.66667
dza,Algeria,country,afr,1801,2512195,716,57.7,460.21,28,3
ecu,Ecuador,country,ame,1801,500000,529,38.1,405.96,-1.25,-78.25
egy,Egypt,country,afr,1801,4241025,791,57.7,404.69,27,30
eri,Eritrea,country,afr,1801,205010,532,45,441.12,15,39
esp,Spain,country,eur,1801,11581132,1518,38,450.6,40,-4
est,Estonia,country,eur,1801,334136,939,48.9,362.15,59,26
eth,Ethiopia,country,afr,1801,2948990,523,47.5,447.88,9,39.5
fin,Finland,country,eur,1801,986439,1246,50.6,420.04,64,26
fji,Fiji,country,asi,1801,130746,785,47.6,498.88,-18,178
fra,France,country,eur,1801,29447067,1806,59,407.24,46,2
gab,Gabon,country,afr,1801,158227,390,45.9,435.79,-1,11.75
gbr,United Kingdom,country,eur,1801,12483870,3439,59.3,326.83,54.75844,-2.69531
geo,Georgia,country,eur,1801,1072178,543,29.7,395.97,41.99998,43.4999
gha,Ghana,country,afr,1801,2016034,696,58.4,471.38,8.1,-1.2
gin,Guinea,country,afr,1801,983959,450,32.7,450.6,10.83333,-10.66667
gmb,Gambia,country,afr,1801,103274,813,45,460.21,13.5,-15.5
gnb,Guinea-Bissau,country,afr,1801,218167,777,49.8,417.44,12,-15
gnq,Equatorial Guinea,country,afr,1801,80377,356,45.1,446.51,1.7,10.5
grc,Greece,country,eur,1801,2158925,1374,49.9,360.97,39,22
gtm,Guatemala,country,ame,1801,464961,857,35.3,503.36,14.64072,-90.51327
guy,Guyana,country,ame,1801,166034,1214,38.2,429.16,5,-59
hnd,Honduras,country,ame,1801,130000,675,61.7,393.46,15,-86.5
hti,Haiti,country,ame,1801,723000,633,41.6,486.39,19,-72.41667
hun,Hungary,country,eur,1801,3529548,1249,47.4,368.01,47,20
idn,Indonesia,country,asi,1801,16150710,994,51.7,443.79,-5,120
ind,India,country,asi,1801,168907299,1052,32.8,509.39,22,79
irl,Ireland,country,eur,1801,4109205,1447,44.6,348.22,53,-8
irn,Iran,country,asi,1801,6283925,977,57.7,506.38,32,53
irq,Iraq,country,asi,1801,1077718,970,57.7,427.86,33,44
isr,Israel,country,asi,1801,209954,880,44.9,447.99,31.5,34.75
ita,Italy,country,eur,1801,18887712,2197,60.5,457.41,42.83333,12.83333
jam,Jamaica,country,ame,1801,401000,1171,39.1,389.77,18.16667,-77.25
jor,Jordan,country,asi,1801,217000,976,38.8,421.34,31,36
jpn,Japan,country,asi,1801,30329275,1051,53.2,363.32,35.68536,139.75309
kaz,Kazakhstan,country,asi,1801,2041282,1141,43.3,497.41,48,68
ken,Kenya,country,afr,1801,2574000,856,46.3,507.88,1,38
kgz,Kyrgyz Republic,country,asi,1801,530343,508,46,382.65,41.5,75
khm,Cambodia,country,asi,1801,2090000,904,38.6,379.99,13,105
kor,South Korea,country,asi,1801,9395000,575,32.1,503.36,36.5,127.75
kwt,Kuwait,country,asi,1801,81280,1101,45,500.35,29.36972,47.97833
lao,Lao,country,asi,1801,470000,865,38.4,418.74,18,105
lbn,Lebanon,country,asi,1801,332000,1082,57.7,447.88,33.83333,35.83333
lbr,Liberia,country,afr,1801,313543,797,38.3,429.16,6.5,-9.5
lby,Libya,country,afr,1801,531797,1050,45,404.69,28,17
lka,Sri Lanka,country,asi,1801,1213000,898,48,409.79,7.75,80.75
lso,Lesotho,country,afr,1801,276361,393,56,407.24,-29.5,28.25
ltu,Lithuania,country,eur,1801,778655,1271,48.9,458.81,55.41667,24
lux,Luxembourg,country,eur,1801,127030,1453,25.9,357.45,49.61167,6.13
lva,Latvia,country,eur,1801,590588,752,48.9,404.69,57,25
mar,Morocco,country,afr,1801,2512195,715,57.7,403.44,32,-6
mda,Moldova,country,eur,1801,712558,621,47.8,396.06,47.25,28.58333
mdg,Madagascar,country,afr,1801,1549842,573,41,437.13,-20,47
mex,Mexico,country,ame,1801,6201367,1379,40.1,487.15,19.42847,-99.12766
mkd,Macedonia, FYR,country,eur,1801,391865,690,32.5,396.65,41.66667,21.75
mli,Mali,country,afr,1801,1403398,603,47.2,494.48,18,-2
mmr,Myanmar,country,asi,1801,3506000,840,30.5,433.13,21,96
mne,Montenegro,country,eur,1801,126582,1058,30.3,375.2,42.75,19.25
mng,Mongolia,country,asi,1801,619000,592,33.4,420.04,46,105
moz,Mozambique,country,afr,1801,1987859,391,45.2,439.79,-18.25,35
mrt,Mauritania,country,afr,1801,382696,528,49.5,417.44,20.25,-10.5
mus,Mauritius,country,afr,1801,64209,940,38,427.86,-20.3,57.58333
mwi,Malawi,country,afr,1801,737000,350,45.7,439.79,-13.5,34
mys,Malaysia,country,asi,1801,287000,997,25.3,435.79,2.5,112.5
nam,Namibia,country,afr,1801,229000,540,52.6,412.34,-22,17
ner,Niger,country,afr,1801,1244861,446,43.3,433.13,18,9
nga,Nigeria,country,afr,1801,12100855,853,54.9,438.46,10,8
nic,Nicaragua,country,ame,1801,219387,973,56.5,509.39,13,-85
nld,Netherlands,country,eur,1801,2258382,4161,56.3,323.5,52.25,5.75
nor,Norway,country,eur,1801,873380,1280,43.7,335.73,62,10
npl,Nepal,country,asi,1801,3881000,654,41,407.24,28,84
nzl,New Zealand,country,asi,1801,100000,659,38.2,390.99,-42,174
omn,Oman,country,asi,1801,318000,916,45,413.61,21,57
pak,Pakistan,country,asi,1801,13149511,1021,28.7,501.85,30,70
pan,Panama,country,ame,1801,78842,847,58.7,405.96,8.9936,-79.51973
per,Peru,country,ame,1801,1314293,1204,57.4,371.61,-10,-75.25
phl,Philippines,country,asi,1801,1894389,962,32.5,431.79,13,122
png,Papua New Guinea,country,asi,1801,754894,546,25.8,423.95,-6,147
pol,Poland,country,eur,1801,9552631,1217,34.5,369.21,52,20
prk,North Korea,country,asi,1801,4345000,578,45.1,500.35,40,127
prt,Portugal,country,eur,1801,3046116,1685,55.1,372.81,39.6945,-8.13057
pry,Paraguay,country,ame,1801,143000,835,55.9,374,-23.33333,-58
pse,West Bank and Gaza,country,asi,1801,165944,1221,34.1,435.19,31.5,34.46667
qat,Qatar,country,asi,1801,14092,1101,45,433.13,25.27932,51.52245
rou,Romania,country,eur,1801,5506976,816,47.8,371.61,46,25
rus,Russia,country,eur,1801,31088398,1432,57.9,418.74,60,100
rwa,Rwanda,country,afr,1801,928368,432,59,420.04,-2,30
sau,Saudi Arabia,country,asi,1801,2091000,846,45,416.16,25,45
sdn,Sudan,country,afr,1801,3999435,518,33.8,425.25,16,30
sds,South Sudan,country,afr,1801,1028736,507,33.78,490.08,7.5,30
sen,Senegal,country,afr,1801,1009886,497,45.9,512.4,14.5,-14.25
sgp,Singapore,country,asi,1801,30000,1021,41,456.05,1.28967,103.85007
slb,Solomon Islands,country,asi,1801,56998,363,45.1,504.87,-8,159
sle,Sierra Leone,country,afr,1801,794264,734,59.9,513.91,8.5,-11.5
slv,El Salvador,country,ame,1801,248000,975,52.9,461.6,13.83333,-88.91667
som,Somalia,country,afr,1801,991912,694,50.9,451.96,6,48
srb,Serbia,country,eur,1801,2147197,1358,32.5,374,44.81892,20.45998
sur,Suriname,country,ame,1801,80721,1637,32.3,405.96,4,-56
svk,Slovak Republic,country,eur,1801,2140651,1427,34.9,363.32,48.66667,19.5
svn,Slovenia,country,eur,1801,469664,1409,27.7,360.97,46.08333,15
swe,Sweden,country,eur,1801,2354278,1402,67.5,328.8,62,15
swz,Swaziland,country,afr,1801,86000,490,60.5,413.61,-26.5,31.5
syr,Syria,country,asi,1801,1337000,1081,57.7,429.16,35,38
tcd,Chad,country,afr,1801,1432000,418,50.6,431.79,15,19
tgo,Togo,country,afr,1801,445985,683,37.8,426.55,8.66667,1.08333
tha,Thailand,country,asi,1801,4665000,932,47.4,438.46,15.5,101
tjk,Tajikistan,country,asi,1801,466629,557,47.4,380.6,39,71
tkm,Turkmenistan,country,asi,1801,367215,944,41.4,497.66,39.75,59.66667
tls,Timor-Leste,country,asi,1801,137262,522,30.6,445.58,-8.83333,125.75
tto,Trinidad and Tobago,country,ame,1801,60000,1230,44.8,405.96,11,-61
tun,Tunisia,country,afr,1801,862673,716,57.7,460.21,34,9
tur,Turkey,country,eur,1801,9788268,1221,57.7,379.99,39,35
tza,Tanzania,country,afr,1801,3019768,562,37.6,414.89,-6,35
uga,Uganda,country,afr,1801,2101397,464,41,510.9,1.25,32.5
ukr,Ukraine,country,eur,1801,11215490,764,45.6,360.97,49,32
ury,Uruguay,country,ame,1801,55000,1758,48.1,405.96,-33,-56
usa,United States,country,ame,1801,6933517,2168,66.6,462.7,39.76,-98.5
uzb,Uzbekistan,country,asi,1801,1919159,502,44.4,381.42,41.66667,63.83333
ven,Venezuela,country,ame,1801,718000,682,43.3,414.89,8,-66
vnm,Vietnam,country,asi,1801,6551000,861,40.4,417.44,16.16667,107.83333
yem,Yemen,country,asi,1801,2593000,879,57.7,540.44,15.5,47.5
zaf,South Africa,country,afr,1801,1446092,1480,35.9,398.45,-29,24
zmb,Zambia,country,afr,1801,747000,665,39.9,409.79,-14.33333,28.5
zwe,Zimbabwe,country,afr,1801,1085814,870,34.6,395.95,-19,29.75
afg,Afghanistan,country,asi,1802,3280000,603,30.5,468.58,33,66
ago,Angola,country,afr,1802,1567028,623,48.9,485.68,-12.5,18.5
alb,Albania,country,eur,1802,413026,668,41.2,375.2,41,20
are,United Arab Emirates,country,asi,1802,40153,1005,45,434.46,23.75,54.5
arg,Argentina,country,ame,1802,534000,1508,47.1,402.19,-34,-64
arm,Armenia,country,eur,1802,413326,514,29.1,370.23,40.25,45
aus,Australia,country,asi,1802,349274,818,41.3,390.99,-25,135
aut,Austria,country,eur,1802,3221565,1863,53.4,359.22,47.33333,13.33333
aze,Azerbaijan,country,eur,1802,879960,775,32,382.43,40.5,47.5
bdi,Burundi,country,afr,1802,899097,419,43.7,423.95,-3.5,30
bel,Belgium,country,eur,1802,3166538,2413,62.4,322.4,50.75,4.5
ben,Benin,country,afr,1802,636559,597,48,430.46,9.5,2.25
bfa,Burkina Faso,country,afr,1802,1665421,480,37.5,454.69,12.5,-1.66667
bgd,Bangladesh,country,asi,1802,19303260,876,41.8,507.88,24,90
bgr,Bulgaria,country,eur,1802,2010981,1089,47.8,369.21,42.66667,25.25
bhr,Bahrain,country,asi,1802,64474,1246,44.9,439.79,26.03333,50.55
bih,Bosnia and Herzegovina,country,eur,1802,851806,669,26.6,378.8,44.25,17.83333
blr,Belarus,country,eur,1802,2355081,608,57.9,365.67,53,28
bol,Bolivia,country,ame,1802,1100000,854,36.9,404.69,-17,-65
bra,Brazil,country,ame,1802,3718270,1109,40.1,417.44,-10,-55
btn,Bhutan,country,asi,1802,89989,630,46.9,462.59,27.5,90.5
bwa,Botswana,country,afr,1802,121000,397,35.6,397.2,-22,24
caf,Central African Republic,country,afr,1802,479444,424,45.2,443.79,7,21
can,Canada,country,ame,1802,660832,1330,45.1,333.47,60.10867,-113.64258
che,Switzerland,country,eur,1802,1841448,2702,41.7,344.77,47.00016,8.01427
chl,Chile,country,ame,1802,771447,1027,47.1,417.44,-33.45694,-70.64827
chn,China,country,asi,1802,327165946,985,44.2,417.44,35,105
civ,Cote d'Ivoire,country,afr,1802,1088530,819,38.1,427.86,8,-5.5
cmr,Cameroon,country,afr,1802,1860054,626,56.2,460.21,6,12.5
cod,Congo, Dem. Rep.,country,afr,1802,5163819,489,42.1,422.65,-2.5,23.5
cog,Congo, Rep.,country,afr,1802,314465,578,51.1,408.51,-1,15.5
col,Colombia,country,ame,1802,1206000,963,58.9,417.44,4,-73.25
com,Comoros,country,afr,1802,56346,697,36.3,416.16,-12.23333,44.44553
cpv,Cape Verde,country,afr,1802,55716,529,50.5,394.71,16,-24
cri,Costa Rica,country,ame,1802,53484,775,49.8,441.12,10,-84
cub,Cuba,country,ame,1802,366184,884,36.6,411.06,22,-79.5
cyp,Cyprus,country,eur,1802,184432,854,29.3,339.12,35,33
cze,Czech Republic,country,eur,1802,5516349,1916,34.9,379.99,49.75,15
deu,Germany,country,eur,1802,23081140,1663,53,340.25,51.5,10.5
dji,Djibouti,country,afr,1802,22848,757,41.6,445.15,11.58901,43.14503
dnk,Denmark,country,eur,1802,1071419,2020,61,377.6,56,10
dom,Dominican Republic,country,ame,1802,89000,667,40.2,445.15,19,-70.66667
dza,Algeria,country,afr,1802,2521203,717,57.7,460.21,28,3
