"geo","time","pop","gdp","gini","u5mr"
"zmb",1814,,686,39.9,409.79
"zwe",1814,,884,34.6,395.95
"abw",1815,,835,,
"afg",1815,,604,30.5,469.98
"ago",1815,,660,48.9,485.68
"alb",1815,,669,41.2,375.2
"and",1815,,1230,,
"are",1815,,1055,44.7,434.46
"arg",1815,,1511,47.1,402.19
"arm",1815,,515,29.1,363.988310126
"atg",1815,,758,,419.295824157
"aus",1815,,843,41.3,390.99
"aut",1815,,1963,53.4,305.71
"aze",1815,,778,34,372.388738541
"bdi",1815,,424,43.7,423.95
"bel",1815,,2418,62.4,321.31
"ben",1815,,598,48,430.46
"bfa",1815,,481,37.5,454.69
"bgd",1815,,875,41.8,507.88
"bgr",1815,,1091,47.8,362.15
"bhr",1815,,1317,44.5,439.79
"bhs",1815,,1448,,413.57830299
"bih",1815,,670,29.5,378.8
"blr",1815,,613,57.9,365.67
"blz",1815,,580,,419.666972978
"bmu",1815,,1230,,
"bol",1815,,856,36.9,404.69
"bra",1815,,1111,40.1,417.44
"brb",1815,,916,,495.216150766
"brn",1815,,1515,,454.69
"btn",1815,,631,47,457.603628329
"bwa",1815,,398,35.6,397.2
"caf",1815,,425,45.2,443.79
"can",1815,,1445,45.1,333.47
"che",1815,,2707,41.7,344.77
"chl",1815,,1029,47.1,417.44
"chn",1815,,985,44.2,417.44
"civ",1815,,863,38.1,427.86
"cmr",1815,,627,56.2,460.21
"cod",1815,,515,42.1,422.65
"cog",1815,,600,51.1,408.51
"col",1815,,965,58.9,417.44
"com",1815,,707,36.3,416.16
"cpv",1815,,530,50.1,394.71
"cri",1815,,777,48.9,441.12
"cub",1815,,1028,37.3,388.54
"cym",1815,,1041,,
"cyp",1815,,855,31.3,339.12
"cze",1815,,1920,34.9,379.99
"deu",1815,,1822,53,340.25
"dji",1815,,789,42.2,445.15
"dma",1815,,665,,
"dnk",1815,,2070,61,363.32
"dom",1815,,668,41.1,445.15
"dza",1815,,730,57.7,460.21
"ecu",1815,,530,39.5,405.96
"egy",1815,,793,57.7,404.69
"eri",1815,,533,45.6,441.12
"esp",1815,,1521,38,450.6
"est",1815,,954,48.9,362.15
"eth",1815,,524,47.5,447.88
"fin",1815,,1278,50.6,370.41
"fji",1815,,787,47.3,498.88
"fra",1815,,1857,59,282.373637853
"fsm",1815,,523,,408.067639125
"gab",1815,,391,45.9,435.79
"gbr",1815,,3589,59.3,310.45
"geo",1815,,544,29.7,384.535079694
"gha",1815,,704,58.4,471.38
"gin",1815,,451,32.7,447.88
"gmb",1815,,820,45.3,460.21
"gnb",1815,,779,49.8,417.44
"gnq",1815,,363,46.1,446.51
"grc",1815,,1407,49.9,360.97
"grd",1815,,961,,423.006760237
"grl",1815,,394,,
"gtm",1815,,859,35.3,503.36
"guy",1815,,1217,38.2,429.16
"hkg",1815,,1009,,
"hnd",1815,,676,58.8,393.46
"hrv",1815,,,,366.84
"hti",1815,,635,42.1,486.240852537
"hun",1815,,1252,47.4,368.01
"idn",1815,,997,51.7,443.79
"ind",1815,,1051,32.8,509.39
"irl",1815,,1450,44.6,348.22
"irn",1815,,979,57.7,506.38
"irq",1815,,972,57.7,427.86
"isl",1815,,928,,412.34
"isr",1815,,881,44.9,447.854365932
"ita",1815,,2330,60.5,454.69
"jam",1815,,1173,39.1,389.77
"jor",1815,,978,39.7,421.34
"jpn",1815,,1072,53.2,363.32
"kaz",1815,,1160,43.3,497.41
"ken",1815,,895,46.3,507.88
"kgz",1815,,509,46,381.628214536
"khm",1815,,905,39.8,379.99
"kir",1815,,558,,428.919310986
"kna",1815,,1167,,
"kor",1815,,567,32.1,503.36
"kwt",1815,,1161,44.7,500.35
"lao",1815,,866,38.4,418.74
"lbn",1815,,1095,57.7,447.88
"lbr",1815,,799,39.5,429.16
"lby",1815,,1052,44.5,404.69
"lca",1815,,876,,418.705789187
"lka",1815,,900,48,409.79
"lso",1815,,396,55.3,407.24
"ltu",1815,,1293,48.9,458.81
"lux",1815,,1456,28.2,357.45
"lva",1815,,764,48.9,404.69
"mac",1815,,995,,
"mar",1815,,716,57.7,403.44
"mco",1815,,1987,,
"mda",1815,,622,47.8,385.894137481
"mdg",1815,,574,41,437.13
"mdv",1815,,844,,447.823579849
"mex",1815,,1382,40.1,487.15
"mhl",1815,,544,,
"mkd",1815,,692,32.5,394.5269335
"mli",1815,,604,47.2,494.48
"mlt",1815,,783,,375.050693157
"mmr",1815,,842,30.5,433.13
"mne",1815,,1060,32.2,375.2
"mng",1815,,593,35.7,420.04
"moz",1815,,394,45.2,439.79
"mrt",1815,,529,49.2,417.44
"mus",1815,,942,39,427.86
"mwi",1815,,351,45.7,439.79
"mys",1815,,1000,25.3,435.79
"nam",1815,,541,52.6,412.34
"ner",1815,,447,43.3,433.13
"nga",1815,,874,54.9,438.46
"nic",1815,,975,54.3,509.39
"nld",1815,,3945,56.3,323.5
"nor",1815,,1309,43.7,335.73
"npl",1815,,656,41,407.24
"nru",1815,,555,,
"nzl",1815,,660,38.2,390.99
"omn",1815,,918,44.9,413.61
"pak",1815,,1019,28.7,501.85
"pan",1815,,849,56.3,405.96
"per",1815,,1206,57.4,371.61
"phl",1815,,964,32.5,431.79
"plw",1815,,841,,
"png",1815,,547,25.8,423.95
"pol",1815,,1284,34.5,369.21
"pri",1815,,1378,,
"prk",1815,,570,45.8,500.35
"prt",1815,,1688,55.1,372.81
"pry",1815,,837,53.8,374
"pse",1815,,1223,35.8,435.05736762
"qat",1815,,1161,44.7,433.13
"rou",1815,,817,47.8,371.61
"rus",1815,,1456,57.9,418.74
"rwa",1815,,439,59,420.04
"sau",1815,,855,45.2,416.16
"sdn",1815,,519,33.8,425.25
"sen",1815,,498,45.9,512.4
"sgp",1815,,1024,41,456.05
"slb",1815,,364,46,504.87
"sle",1815,,736,57.7,513.91
"slv",1815,,977,51.4,461.6
"smr",1815,,1440,,
"som",1815,,704,50.9,451.96
"srb",1815,,1361,32.5,374
"ssd",1815,,508,33.78,490.08
"stp",1815,,874,,421.167884163
"sur",1815,,1640,33.7,405.96
"svk",1815,,1430,34.9,363.32
"svn",1815,,1412,27.7,360.97
"swe",1815,,1464,67.5,274.63
"swz",1815,,491,58.6,413.61
"syc",1815,,840,,391.171339471
"syr",1815,,1083,57.7,429.16
"tca",1815,,488,,
"tcd",1815,,419,50.6,431.79
"tgo",1815,,684,37.8,426.55
"tha",1815,,934,47.4,438.46
"tjk",1815,,559,47.4,368.988118443
"tkm",1815,,960,41.4,494.032542702
"tls",1815,,537,33.5,447.565061467
"ton",1815,,664,,395.977964898
"tto",1815,,1233,44.6,405.96
"tun",1815,,717,57.7,460.21
"tur",1815,,1224,57.7,379.99
"tuv",1815,,720,,
"twn",1815,,998,,
"tza",1815,,563,37.6,414.89
"uga",1815,,465,41,510.9
"ukr",1815,,777,45.6,360.97
"ury",1815,,1762,48.1,405.96
"usa",1815,,2349,66.6,458.265
"uzb",1815,,503,44.4,381.122753373
"vct",1815,,840,,425.432426742
"ven",1815,,683,43.5,414.89
"vnm",1815,,863,40.4,417.44
"vut",1815,,587,,391.842475478
"wsm",1815,,1403,,440.465854296
"yem",1815,,915,57.7,540.44
"zaf",1815,,1483,35.9,398.45
"zmb",1815,,688,39.9,409.79
"zwe",1815,,885,34.6,395.95
"abw",1816,,835,,
"afg",1816,,604,30.5,471.38
"ago",1816,,662,48.9,485.68
"alb",1816,,669,41.2,375.2
"and",1816,,1233,,
"are",1816,,1059,44.7,434.46
"arg",1816,,1511,47.1,402.19
"arm",1816,,515,29.1,363.512542852
"atg",1816,,759,,415.905305141
"aus",1816,,845,41.3,390.99
"aut",1816,,1971,53.4,289.32
"aze",1816,,778,34.2,371.627257088
"bdi",1816,,424,43.7,423.95
"bel",1816,,2418,62.4,321.31
"ben",1816,,598,48,430.46
"bfa",1816,,481,37.5,454.69
"bgd",1816,,875,41.8,507.88
"bgr",1816,,1092,47.8,362.15
"bhr",1816,,1323,44.4,439.79
"bhs",1816,,1449,,410.006816847
"bih",1816,,670,29.7,378.8
"blr",1816,,613,57.9,365.67
"blz",1816,,580,,416.67577922
"bmu",1816,,1230,,
"bol",1816,,856,36.9,404.69
"bra",1816,,1111,40.1,417.44
"brb",1816,,916,,496.961469087
"brn",1816,,1515,,454.69
"btn",1816,,631,47,457.222422754
"bwa",1816,,398,35.6,397.2
"caf",1816,,425,45.2,443.79
"can",1816,,1454,45.1,333.47
"che",1816,,2708,41.7,344.77
"chl",1816,,1029,47.1,417.44
"chn",1816,,985,44.2,417.44
"civ",1816,,866,38.1,427.86
"cmr",1816,,628,56.2,460.21
"cod",1816,,518,42.1,422.65
"cog",1816,,601,51.1,408.51
"col",1816,,965,58.9,417.44
"com",1816,,707,36.3,416.16
"cpv",1816,,530,50.1,394.71
"cri",1816,,777,48.8,441.12
"cub",1816,,1040,37.4,387.32
"cym",1816,,1041,,
"cyp",1816,,855,31.5,339.12
"cze",1816,,1920,34.9,379.99
"deu",1816,,1834,53,340.25
"dji",1816,,791,42.3,445.15
"dma",1816,,665,,
"dnk",1816,,2073,61,362.15
"dom",1816,,669,41.2,445.15
"dza",1816,,731,57.7,460.21
"ecu",1816,,530,39.6,405.96
"egy",1816,,793,57.7,404.69
"eri",1816,,533,45.7,441.12
"esp",1816,,1521,38,450.6
"est",1816,,956,48.9,362.15
"eth",1816,,524,47.5,447.88
"fin",1816,,1281,50.6,368.01
"fji",1816,,787,47.3,498.88
"fra",1816,,1861,59,273.21
"fsm",1816,,523,,405.381685024
"gab",1816,,391,45.9,435.79
"gbr",1816,,3345,59.3,311.52
"geo",1816,,544,29.7,383.731029168
"gha",1816,,705,58.4,471.38
"gin",1816,,451,32.7,447.88
"gmb",1816,,821,45.3,460.21
"gnb",1816,,779,49.8,417.44
"gnq",1816,,363,46.2,446.51
"grc",1816,,1410,49.9,360.97
"grd",1816,,961,,419.908538942
"grl",1816,,394,,
"gtm",1816,,859,35.3,503.36
"guy",1816,,1217,38.2,429.16
"hkg",1816,,1009,,
"hnd",1816,,676,58.6,393.46
"hrv",1816,,,,366.84
"hti",1816,,635,42.1,486.230244558
"hun",1816,,1252,47.4,368.01
"idn",1816,,997,51.7,443.79
"ind",1816,,1051,32.8,509.39
"irl",1816,,1450,44.6,348.22
"irn",1816,,979,57.7,506.38
"irq",1816,,972,57.7,427.86
"isl",1816,,929,,412.34
"isr",1816,,882,44.9,447.844658677
"ita",1816,,2294,60.5,454.69
"jam",1816,,1173,39.1,389.77
"jor",1816,,979,39.8,421.34
"jpn",1816,,1073,53.2,363.32
"kaz",1816,,1162,43.3,497.41
"ken",1816,,897,46.3,507.88
"kgz",1816,,509,46,381.555539676
"khm",1816,,906,39.9,379.99
"kir",1816,,559,,427.352672487
"kna",1816,,1167,,
"kor",1816,,566,32.1,503.36
"kwt",1816,,1165,44.6,500.35
"lao",1816,,867,38.4,418.74
"lbn",1816,,1096,57.7,447.88
"lbr",1816,,799,39.6,429.16
"lby",1816,,1052,44.4,404.69
"lca",1816,,876,,416.117456755
"lka",1816,,900,48,409.79
"lso",1816,,397,55.2,407.24
"ltu",1816,,1294,48.9,458.81
"lux",1816,,1456,28.4,357.45
"lva",1816,,765,48.9,404.69
"mac",1816,,995,,
"mar",1816,,716,57.7,403.44
"mco",1816,,1990,,
"mda",1816,,622,47.8,385.177829852
"mdg",1816,,574,41,437.13
"mdv",1816,,845,,447.137630864
"mex",1816,,1382,40.1,487.15
"mhl",1816,,544,,
"mkd",1816,,692,32.5,394.375859539
"mli",1816,,604,47.2,494.48
"mlt",1816,,783,,370.006206836
"mmr",1816,,842,30.5,433.13
"mne",1816,,1060,32.3,375.2
"mng",1816,,593,35.9,420.04
"moz",1816,,394,45.2,439.79
"mrt",1816,,529,49.2,417.44
"mus",1816,,942,39.1,427.86
"mwi",1816,,351,45.7,439.79
"mys",1816,,1000,25.3,435.79
"nam",1816,,541,52.6,412.34
"ner",1816,,447,43.3,433.13
"nga",1816,,876,54.9,438.46
"nic",1816,,975,54.2,509.39
"nld",1816,,3748,56.3,323.5
"nor",1816,,1311,43.7,332.37
"npl",1816,,656,41,407.24
"nru",1816,,555,,
"nzl",1816,,660,38.2,390.99
"omn",1816,,918,44.9,413.61
"pak",1816,,1019,28.7,501.85
"pan",1816,,849,56.1,405.96
"per",1816,,1207,57.4,371.61
"phl",1816,,964,32.5,431.79
"plw",1816,,841,,
"png",1816,,548,25.8,423.95
"pol",1816,,1289,34.5,369.21
"pri",1816,,1378,,
"prk",1816,,569,45.9,500.35
"prt",1816,,1689,55.1,372.81
"pry",1816,,837,53.6,374
"pse",1816,,1223,35.9,435.047860457
"qat",1816,,1165,44.6,433.13
"rou",1816,,817,47.8,371.61
"rus",1816,,1457,57.9,418.74
"rwa",1816,,440,59,420.04
"sau",1816,,855,45.2,416.16
"sdn",1816,,520,33.8,425.25
"sen",1816,,498,45.9,512.4
"sgp",1816,,1024,41,456.05
"slb",1816,,364,46,504.87
"sle",1816,,736,57.6,513.91
"slv",1816,,977,51.3,461.6
"smr",1816,,1442,,
"som",1816,,704,50.9,451.96
"srb",1816,,1361,32.5,374
"ssd",1816,,508,33.78,490.08
"stp",1816,,876,,419.357541657
"sur",1816,,1640,33.8,405.96
"svk",1816,,1430,34.9,363.32
"svn",1816,,1412,27.7,360.97
"swe",1816,,1492,67.5,273.48
"swz",1816,,491,58.5,413.61
"syc",1816,,843,,387.723807774
"syr",1816,,1084,57.7,429.16
"tca",1816,,488,,
"tcd",1816,,419,50.6,431.79
"tgo",1816,,684,37.8,426.55
"tha",1816,,934,47.4,438.46
"tjk",1816,,560,47.4,368.172594924
"tkm",1816,,961,41.4,493.774460657
"tls",1816,,538,33.7,447.707092161
"ton",1816,,664,,392.882911631
"tto",1816,,1233,44.6,405.96
"tun",1816,,717,57.7,460.21
"tur",1816,,1224,57.7,379.99
"tuv",1816,,720,,
"twn",1816,,998,,
"tza",1816,,563,37.6,414.89
"uga",1816,,465,41,510.9
"ukr",1816,,778,45.6,360.97
"ury",1816,,1762,48.1,405.96
"usa",1816,,2254,66.6,457.726
"uzb",1816,,503,44.4,381.101612982
"vct",1816,,840,,423.017231845
"ven",1816,,684,43.5,414.89
"vnm",1816,,863,40.4,417.44
"vut",1816,,587,,389.650584471
"wsm",1816,,1403,,438.499609212
"yem",1816,,917,57.7,540.44
"zaf",1816,,1483,35.9,398.45
"zmb",1816,,689,39.9,409.79
"zwe",1816,,886,34.6,395.95
"abw",1817,,835,,
"afg",1817,,604,30.5,471.38
"ago",1817,,665,48.9,485.68
"alb",1817,,669,41.2,375.2
"and",1817,,1235,,
"are",1817,,1063,44.7,434.46
"arg",1817,,1511,47.1,402.19
"arm",1817,,515,29.1,363.03739745
"atg",1817,,759,,412.542202614
"aus",1817,,847,41.3,390.99
"aut",1817,,1979,53.4,292.6
"aze",1817,,778,34.3,370.867332756
"bdi",1817,,425,43.7,423.95
"bel",1817,,2418,62.4,321.31
"ben",1817,,598,48,430.46
"bfa",1817,,481,37.5,454.69
"bgd",1817,,875,41.8,507.88
"bgr",1817,,1092,47.8,362.15
"bhr",1817,,1329,44.4,439.79
"bhs",1817,,1449,,406.466172537
"bih",1817,,670,29.9,378.8
"blr",1817,,613,57.9,365.67
"blz",1817,,580,,413.705905321
"bmu",1817,,1230,,
"bol",1817,,856,36.9,404.69
"bra",1817,,1112,40.1,417.44
"brb",1817,,916,,498.712938533
"brn",1817,,1516,,454.69
"btn",1817,,631,47,456.841534742
"bwa",1817,,398,35.6,397.2
"caf",1817,,425,45.2,443.79
"can",1817,,1463,45.1,333.47
"che",1817,,2708,41.7,344.77
"chl",1817,,1029,47.1,417.44
"chn",1817,,985,44.2,417.44
"civ",1817,,869,38.1,427.86
"cmr",1817,,628,56.2,460.21
"cod",1817,,520,42.1,422.65
"cog",1817,,603,51.1,408.51
"col",1817,,965,58.9,417.44
"com",1817,,708,36.3,416.16
"cpv",1817,,531,50.1,394.71
"cri",1817,,777,48.8,441.12
"cub",1817,,1052,37.5,386.1
"cym",1817,,1042,,
"cyp",1817,,856,31.6,339.12
"cze",1817,,1920,34.9,379.99
"deu",1817,,1847,53,340.25
"dji",1817,,794,42.3,445.15
"dma",1817,,665,,
"dnk",1817,,2077,61,360.97
"dom",1817,,669,41.3,445.15
"dza",1817,,732,57.7,460.21
"ecu",1817,,531,39.7,405.96
"egy",1817,,793,57.7,404.69
"eri",1817,,533,45.7,441.12
"esp",1817,,1522,38,450.6
"est",1817,,957,48.9,362.15
"eth",1817,,524,47.5,447.88
"fin",1817,,1283,50.6,364.49
"fji",1817,,787,47.3,498.88
"fra",1817,,1865,59,283.46
"fsm",1817,,523,,402.713410221
"gab",1817,,391,45.9,435.79
"gbr",1817,,3348,59.3,312.61
"geo",1817,,544,29.7,382.928659887
"gha",1817,,705,58.4,471.38
"gin",1817,,451,32.7,447.88
"gmb",1817,,821,45.4,460.21
"gnb",1817,,779,49.8,417.44
"gnq",1817,,364,46.3,446.51
"grc",1817,,1412,49.9,360.97
"grd",1817,,961,,416.833009897
"grl",1817,,394,,
"gtm",1817,,859,35.3,503.36
"guy",1817,,1217,38.2,429.16
"hkg",1817,,1009,,
"hnd",1817,,676,58.4,393.46
"hrv",1817,,,,366.84
"hti",1817,,635,42.2,486.21963681
"hun",1817,,1252,47.4,368.01
"idn",1817,,997,51.7,443.79
"ind",1817,,1050,32.8,509.39
"irl",1817,,1451,44.6,348.22
"irn",1817,,980,57.7,506.38
"irq",1817,,972,57.7,427.86
"isl",1817,,929,,412.34
"isr",1817,,882,44.9,447.834951633
"ita",1817,,2316,60.5,454.69
"jam",1817,,1173,39.1,389.77
"jor",1817,,979,39.8,421.34
"jpn",1817,,1075,53.2,363.32
"kaz",1817,,1163,43.3,497.41
"ken",1817,,900,46.3,507.88
"kgz",1817,,509,46,381.482878656
"khm",1817,,906,39.9,379.99
"kir",1817,,559,,425.791756174
"kna",1817,,1167,,
"kor",1817,,566,32.1,503.36
"kwt",1817,,1169,44.6,500.35
"lao",1817,,867,38.4,418.74
"lbn",1817,,1097,57.7,447.88
"lbr",1817,,799,39.7,429.16
"lby",1817,,1052,44.4,404.69
"lca",1817,,877,,413.545124734
"lka",1817,,900,48,409.79
"lso",1817,,397,55.2,407.24
"ltu",1817,,1296,48.9,458.81
"lux",1817,,1456,28.5,357.45
"lva",1817,,766,48.9,404.69
"mac",1817,,995,,
"mar",1817,,717,57.7,403.44
"mco",1817,,1993,,
"mda",1817,,623,47.8,384.462851853
"mdg",1817,,574,41,437.13
"mdv",1817,,845,,446.452732574
"mex",1817,,1383,40.1,487.15
"mhl",1817,,545,,
"mkd",1817,,692,32.5,394.224843427
"mli",1817,,604,47.2,494.48
"mlt",1817,,783,,365.029569589
"mmr",1817,,842,30.5,433.13
"mne",1817,,1060,32.5,375.2
"mng",1817,,594,36.1,420.04
"moz",1817,,394,45.2,439.79
"mrt",1817,,529,49.2,417.44
"mus",1817,,942,39.2,427.86
"mwi",1817,,351,45.7,439.79
"mys",1817,,1000,25.3,435.79
"nam",1817,,542,52.6,412.34
"ner",1817,,447,43.3,433.13
"nga",1817,,878,54.9,438.46
"nic",1817,,976,54,509.39
"nld",1817,,3778,56.3,323.5
"nor",1817,,1313,43.7,329.04
"npl",1817,,656,41,407.24
"nru",1817,,555,,
"nzl",1817,,660,38.2,390.99
"omn",1817,,918,44.9,413.61
"pak",1817,,1019,28.7,501.85
"pan",1817,,849,55.9,405.96
"per",1817,,1207,57.4,371.61
"phl",1817,,965,32.5,431.79
"plw",1817,,841,,
"png",1817,,548,25.8,423.95
"pol",1817,,1294,34.5,369.21
"pri",1817,,1379,,
"prk",1817,,569,45.9,500.35
"prt",1817,,1689,55.1,372.81
"pry",1817,,837,53.5,374
"pse",1817,,1224,36,435.038353501
"qat",1817,,1169,44.6,433.13
"rou",1817,,818,47.8,371.61
"rus",1817,,1459,57.9,418.74
"rwa",1817,,440,59,420.04
"sau",1817,,856,45.3,416.16
"sdn",1817,,520,33.8,425.25
"sen",1817,,498,45.9,512.4
"sgp",1817,,1024,41,456.05
"slb",1817,,364,46.1,504.87
"sle",1817,,736,57.4,513.91
"slv",1817,,977,51.2,461.6
"smr",1817,,1445,,
"som",1817,,705,50.9,451.96
"srb",1817,,1361,32.5,374
"ssd",1817,,509,33.78,490.08
"stp",1817,,877,,417.554980704
"sur",1817,,1640,33.9,405.96
"svk",1817,,1430,34.9,363.32
"svn",1817,,1412,27.7,360.97
"swe",1817,,1449,67.5,276.06
"swz",1817,,491,58.3,413.61
"syc",1817,,847,,384.306660396
"syr",1817,,1084,57.7,429.16
"tca",1817,,488,,
"tcd",1817,,419,50.6,431.79
"tgo",1817,,684,37.8,426.55
"tha",1817,,934,47.4,438.46
"tjk",1817,,560,47.4,367.358873843
"tkm",1817,,962,41.4,493.516513433
"tls",1817,,539,33.9,447.849167927
"ton",1817,,664,,389.812049999
"tto",1817,,1233,44.5,405.96
"tun",1817,,718,57.7,460.21
"tur",1817,,1224,57.7,379.99
"tuv",1817,,720,,
"twn",1817,,998,,
"tza",1817,,563,37.6,414.89
"uga",1817,,465,41,510.9
"ukr",1817,,779,45.6,360.97
"ury",1817,,1762,48.1,405.96
"usa",1817,,2252,66.6,457.187
"uzb",1817,,504,44.4,381.080473763
"vct",1817,,840,,420.615748095
"ven",1817,,684,43.5,414.89
"vnm",1817,,863,40.4,417.44
"vut",1817,,587,,387.47095448
"wsm",1817,,1404,,436.54214147
"yem",1817,,920,57.7,540.44
"zaf",1817,,1483,35.9,398.45
"zmb",1817,,691,39.9,409.79
"zwe",1817,,887,34.6,395.95
"abw",1818,,835,,
"afg",1818,,604,30.5,471.38
"ago",1818,,668,48.9,485.68
"alb",1818,,669,41.2,375.2
"and",1818,,1237,,
"are",1818,,1067,44.7,434.46
"arg",1818,,1511,47.1,402.19
"arm",1818,,515,29.1,362.562873109
"atg",1818,,759,,409.20629488
"aus",1818,,849,41.3,390.99
"aut",1818,,1987,53.4,294.24
"aze",1818,,778,34.5,370.10896236
"bdi",1818,,425,43.7,423.95
"bel",1818,,2419,62.4,321.31
"ben",1818,,598,48,430.46
"bfa",1818,,481,37.5,454.69
"bgd",1818,,875,41.8,507.88
"bgr",1818,,1092,47.8,360.97
"bhr",1818,,1334,44.4,439.79
"bhs",1818,,1449,,402.956103725
"bih",1818,,670,30.1,378.8
"blr",1818,,614,57.9,365.67
"blz",1818,,580,,410.75719932
"bmu",1818,,1231,,
"bol",1818,,856,36.9,404.69
"bra",1818,,1112,40.1,417.44
"brb",1818,,916,,500.470580781
"brn",1818,,1516,,454.69
"btn",1818,,631,47.1,456.460964027
"bwa",1818,,398,35.6,397.2
"caf",1818,,425,45.2,443.79
"can",1818,,1472,45.1,333.47
"che",1818,,2708,41.7,344.77
"chl",1818,,1029,47.1,417.44
"chn",1818,,985,44.2,417.44
"civ",1818,,873,38.1,427.86
"cmr",1818,,628,56.2,460.21
"cod",1818,,522,42.1,422.65
"cog",1818,,605,51.1,408.51
"col",1818,,965,58.9,417.44
"com",1818,,709,36.3,416.16
"cpv",1818,,531,50,394.71
"cri",1818,,777,48.7,441.12
"cub",1818,,1065,37.5,384.88
"cym",1818,,1042,,
"cyp",1818,,856,31.8,339.12
"cze",1818,,1921,34.9,379.99
"deu",1818,,1860,53,340.25
"dji",1818,,796,42.4,445.15
"dma",1818,,665,,
"dnk",1818,,2081,61,359.8
"dom",1818,,669,41.3,445.15
"dza",1818,,733,57.7,460.21
"ecu",1818,,531,39.8,405.96
"egy",1818,,793,57.7,404.69
"eri",1818,,533,45.8,441.12
"esp",1818,,1522,38,450.6
"est",1818,,958,48.9,362.15
"eth",1818,,524,47.5,447.88
"fin",1818,,1286,50.6,362.15
"fji",1818,,787,47.3,498.88
"fra",1818,,1868,59,293.69
"fsm",1818,,524,,400.062698348
"gab",1818,,391,45.9,435.79
"gbr",1818,,3295,59.3,313.69
"geo",1818,,544,29.7,382.127968334
"gha",1818,,706,58.4,471.38
"gin",1818,,451,32.7,447.88
"gmb",1818,,822,45.4,460.21
"gnb",1818,,779,49.8,417.44
"gnq",1818,,364,46.4,446.51
"grc",1818,,1415,49.9,360.97
"grd",1818,,961,,413.780006898
"grl",1818,,394,,
"gtm",1818,,859,35.3,503.36
"guy",1818,,1217,38.2,429.16
"hkg",1818,,1009,,
"hnd",1818,,676,58.2,393.46
"hrv",1818,,,,366.84
"hti",1818,,635,42.2,486.209029294
"hun",1818,,1253,47.4,368.01
"idn",1818,,997,51.7,443.79
"ind",1818,,1050,32.8,509.39
"irl",1818,,1451,44.6,348.22
"irn",1818,,980,57.7,506.38
"irq",1818,,972,57.7,427.86
"isl",1818,,929,,412.34
"isr",1818,,882,44.9,447.8252448
"ita",1818,,2495,60.5,454.69
"jam",1818,,1173,39.1,389.77
"jor",1818,,979,39.9,421.34
"jpn",1818,,1076,53.2,363.32
"kaz",1818,,1164,43.3,497.41
"ken",1818,,903,46.3,507.88
"kgz",1818,,509,46,381.410231472
"khm",1818,,906,40,379.99
"kir",1818,,560,,424.236541147
"kna",1818,,1168,,
"kor",1818,,565,32.1,503.36
"kwt",1818,,1174,44.6,500.35
"lao",1818,,867,38.4,418.74
"lbn",1818,,1098,57.7,447.88
"lbr",1818,,799,39.8,429.16
"lby",1818,,1053,44.3,404.69
"lca",1818,,877,,410.988694214
"lka",1818,,900,48,409.79
"lso",1818,,397,55.1,407.24
"ltu",1818,,1297,48.9,458.81
"lux",1818,,1457,28.7,357.45
"lva",1818,,767,48.9,404.69
"mac",1818,,995,,
"mar",1818,,717,57.7,403.44
"mco",1818,,1996,,
"mda",1818,,623,47.8,383.749201017
"mdg",1818,,574,41,437.13
"mdv",1818,,845,,445.76888337
"mex",1818,,1383,40.1,487.15
"mhl",1818,,545,,
"mkd",1818,,692,32.5,394.073885143
"mli",1818,,604,47.2,494.48
"mlt",1818,,784,,360.119868837
"mmr",1818,,842,30.5,433.13
"mne",1818,,1060,32.6,375.2
"mng",1818,,594,36.3,420.04
"moz",1818,,395,45.2,439.79
"mrt",1818,,529,49.2,417.44
"mus",1818,,943,39.3,427.86
"mwi",1818,,351,45.7,439.79
"mys",1818,,1000,25.3,435.79
"nam",1818,,542,52.6,412.34
"ner",1818,,447,43.3,433.13
"nga",1818,,879,54.9,438.46
"nic",1818,,976,53.9,509.39
"nld",1818,,3831,56.3,323.5
"nor",1818,,1315,43.7,325.72
"npl",1818,,656,41,407.24
"nru",1818,,555,,
"nzl",1818,,660,38.2,390.99
"omn",1818,,918,44.9,413.61
"pak",1818,,1019,28.7,501.85
"pan",1818,,849,55.7,405.96
"per",1818,,1207,57.4,371.61
"phl",1818,,965,32.5,431.79
"plw",1818,,841,,
"png",1818,,548,25.8,423.95
"pol",1818,,1299,34.5,369.21
"pri",1818,,1379,,
"prk",1818,,568,46,500.35
"prt",1818,,1689,55.1,372.81
"pry",1818,,837,53.3,374
"pse",1818,,1224,36.1,435.028846754
"qat",1818,,1174,44.6,433.13
"rou",1818,,818,47.8,371.61
"rus",1818,,1461,57.9,418.74
"rwa",1818,,441,59,420.04
"sau",1818,,856,45.3,416.16
"sdn",1818,,520,33.8,425.25
"sen",1818,,498,45.9,512.4
"sgp",1818,,1024,41,456.05
"slb",1818,,364,46.2,504.87
"sle",1818,,736,57.3,513.91
"slv",1818,,977,51.1,461.6
"smr",1818,,1448,,
"som",1818,,706,50.9,451.96
"srb",1818,,1361,32.5,374
"ssd",1818,,509,33.78,490.08
"stp",1818,,879,,415.760167856
"sur",1818,,1641,34,405.96
"svk",1818,,1431,34.9,363.32
"svn",1818,,1412,27.7,360.97
"swe",1818,,1462,67.5,269.7
"swz",1818,,491,58.2,413.61
"syc",1818,,850,,380.91962955
"syr",1818,,1084,57.7,429.16
"tca",1818,,488,,
