location;year;Battle deaths (low estimate);Battle deaths (high estimate);Battle deaths (best estimate)
Iraq;2008;2090;13766;13766
Israel;2008;486;787;486
Mali;2008;25;999;58
Myanmar;2008;34;100;34
Myanmar;2008;32;100;32
Niger;2008;25;999;47
Pakistan;2008;197;398;348
Pakistan;2008;2996;6317;6317
Peru;2008;36;56;36
Philippines;2008;103;172;172
Philippines;2008;295;531;390
Russia (Soviet Union);2008;237;503;339
Somalia;2008;656;1641;1483
Sri Lanka (Ceylon);2008;8396;11144;11144
Sudan;2008;588;1466;
Thailand;2008;131;230;230
Turkey/Ottoman Empire;2008;513;1068;580
United States of America;2008;182;1243;182
